id,name,state_id/id
kabupaten_id_244,Luwu,base.state_id_sn
kabupaten_id_245,Luwu Timur,base.state_id_sn
kabupaten_id_246,Luwu Utara,base.state_id_sn
kabupaten_id_247,Madiun,base.state_id_ji
kabupaten_id_248,Madiun,base.state_id_ji
kabupaten_id_249,Magelang,base.state_id_jt
kabupaten_id_250,Magelang,base.state_id_jt
kabupaten_id_251,Magetan,base.state_id_ji
kabupaten_id_252,Majalengka,base.state_id_jb
kabupaten_id_253,Majene,base.state_id_sr
kabupaten_id_254,Makassar,base.state_id_sn
kabupaten_id_255,Malang,base.state_id_ji
kabupaten_id_256,Malang,base.state_id_ji
kabupaten_id_257,Malinau,base.state_id_ku
kabupaten_id_258,Maluku Barat Daya,base.state_id_ma
kabupaten_id_259,Maluku Tengah,base.state_id_ma
kabupaten_id_260,Maluku Tenggara,base.state_id_ma
kabupaten_id_261,Maluku Tenggara Barat,base.state_id_ma
kabupaten_id_262,Mamasa,base.state_id_sr
kabupaten_id_263,Mamberamo Raya,base.state_id_pa
kabupaten_id_264,Mamberamo Tengah,base.state_id_pa
kabupaten_id_265,Mamuju,base.state_id_sr
kabupaten_id_266,Mamuju Utara,base.state_id_sr
kabupaten_id_267,Manado,base.state_id_sa
kabupaten_id_268,Mandailing Natal,base.state_id_su
kabupaten_id_269,Manggarai,base.state_id_nt
kabupaten_id_270,Manggarai Barat,base.state_id_nt
kabupaten_id_271,Manggarai Timur,base.state_id_nt
kabupaten_id_272,Manokwari,base.state_id_pb
kabupaten_id_273,Manokwari Selatan,base.state_id_pb
kabupaten_id_274,Mappi,base.state_id_pa
kabupaten_id_275,Maros,base.state_id_sn
kabupaten_id_276,Mataram,base.state_id_nb
kabupaten_id_277,Maybrat,base.state_id_pb
kabupaten_id_278,Medan,base.state_id_su
kabupaten_id_279,Melawi,base.state_id_kb
kabupaten_id_280,Merangin,base.state_id_ja
kabupaten_id_281,Merauke,base.state_id_pa
kabupaten_id_282,Mesuji,base.state_id_la
kabupaten_id_283,Metro,base.state_id_la
kabupaten_id_284,Mimika,base.state_id_pa
kabupaten_id_285,Minahasa,base.state_id_sa
kabupaten_id_286,Minahasa Selatan,base.state_id_sa
kabupaten_id_287,Minahasa Tenggara,base.state_id_sa
kabupaten_id_288,Minahasa Utara,base.state_id_sa
kabupaten_id_289,Mojokerto,base.state_id_ji
kabupaten_id_290,Mojokerto,base.state_id_ji
kabupaten_id_291,Morowali,base.state_id_st
kabupaten_id_292,Muara Enim,base.state_id_ss
kabupaten_id_293,Muaro Jambi,base.state_id_ja
kabupaten_id_294,Muko Muko,base.state_id_be
kabupaten_id_295,Muna,base.state_id_sg
kabupaten_id_296,Murung Raya,base.state_id_kt
kabupaten_id_297,Musi Banyuasin,base.state_id_ss
kabupaten_id_298,Musi Rawas,base.state_id_ss
kabupaten_id_299,Nabire,base.state_id_pa
kabupaten_id_300,Nagan Raya,base.state_id_ac
kabupaten_id_301,Nagekeo,base.state_id_nt
kabupaten_id_302,Natuna,base.state_id_kr
kabupaten_id_303,Nduga,base.state_id_pa
kabupaten_id_304,Ngada,base.state_id_nt
kabupaten_id_305,Nganjuk,base.state_id_ji
kabupaten_id_306,Ngawi,base.state_id_ji
kabupaten_id_307,Nias,base.state_id_su
kabupaten_id_308,Nias Barat,base.state_id_su
kabupaten_id_309,Nias Selatan,base.state_id_su
kabupaten_id_310,Nias Utara,base.state_id_su
kabupaten_id_311,Nunukan,base.state_id_ku
kabupaten_id_312,Ogan Ilir,base.state_id_ss
kabupaten_id_313,Ogan Komering Ilir,base.state_id_ss
kabupaten_id_314,Ogan Komering Ulu,base.state_id_ss
kabupaten_id_315,Ogan Komering Ulu Selatan,base.state_id_ss
kabupaten_id_316,Ogan Komering Ulu Timur,base.state_id_ss
kabupaten_id_317,Pacitan,base.state_id_ji
kabupaten_id_318,Padang,base.state_id_sb
kabupaten_id_319,Padang Lawas,base.state_id_su
kabupaten_id_320,Padang Lawas Utara,base.state_id_su
kabupaten_id_321,Padang Panjang,base.state_id_sb
kabupaten_id_322,Padang Pariaman,base.state_id_sb
kabupaten_id_323,Padang Sidempuan,base.state_id_su
kabupaten_id_324,Pagar Alam,base.state_id_ss
kabupaten_id_325,Pakpak Bharat,base.state_id_su
kabupaten_id_326,Palangka Raya,base.state_id_kt
kabupaten_id_327,Palembang,base.state_id_ss
kabupaten_id_328,Palopo,base.state_id_sn
kabupaten_id_329,Palu,base.state_id_st
kabupaten_id_330,Pamekasan,base.state_id_ji
kabupaten_id_331,Pandeglang,base.state_id_bt
kabupaten_id_332,Pangandaran,base.state_id_jb
kabupaten_id_333,Pangkajene Kepulauan,base.state_id_sn
kabupaten_id_334,Pangkal Pinang,base.state_id_bb
kabupaten_id_335,Paniai,base.state_id_pa
kabupaten_id_336,Parepare,base.state_id_sn
kabupaten_id_337,Pariaman,base.state_id_sb
kabupaten_id_338,Parigi Moutong,base.state_id_st
kabupaten_id_339,Pasaman,base.state_id_sb
kabupaten_id_340,Pasaman Barat,base.state_id_sb
kabupaten_id_341,Paser,base.state_id_ki
kabupaten_id_342,Pasuruan,base.state_id_ji
kabupaten_id_343,Pasuruan,base.state_id_ji
kabupaten_id_344,Pati,base.state_id_jt
kabupaten_id_345,Payakumbuh,base.state_id_sb
kabupaten_id_346,Pegunungan Arfak,base.state_id_pb
kabupaten_id_347,Pegunungan Bintang,base.state_id_pa
kabupaten_id_348,Pekalongan,base.state_id_jt
kabupaten_id_349,Pekalongan,base.state_id_jt
kabupaten_id_350,Pekanbaru,base.state_id_ri
kabupaten_id_351,Pelalawan,base.state_id_ri
kabupaten_id_352,Pemalang,base.state_id_jt
kabupaten_id_353,Pematang Siantar,base.state_id_su
kabupaten_id_354,Penajam Paser Utara,base.state_id_ki
kabupaten_id_355,Pesawaran,base.state_id_la
kabupaten_id_356,Pesisir Barat,base.state_id_la
kabupaten_id_357,Pesisir Selatan,base.state_id_sb
kabupaten_id_358,Pidie,base.state_id_ac
kabupaten_id_359,Pidie Jaya,base.state_id_ac
kabupaten_id_360,Pinrang,base.state_id_sn
kabupaten_id_361,Pohuwato,base.state_id_go
kabupaten_id_362,Polewali Mandar,base.state_id_sr
kabupaten_id_363,Ponorogo,base.state_id_ji
kabupaten_id_364,Pontianak,base.state_id_kb
kabupaten_id_365,Pontianak,base.state_id_kb
kabupaten_id_366,Poso,base.state_id_st
kabupaten_id_367,Prabumulih,base.state_id_ss
kabupaten_id_368,Pringsewu,base.state_id_la
